,precision,recall,f1-score,support
T-shirt/top,0.8316633266533067,0.83,0.8308308308308309,1000.0
Trouser,0.9887179487179487,0.964,0.9762025316455696,1000.0
Pullover,0.7903543307086615,0.803,0.7966269841269842,1000.0
Dress,0.8650485436893204,0.891,0.8778325123152708,1000.0
Coat,0.7968596663395485,0.812,0.8043585933630509,1000.0
Sandal,0.9505549949545913,0.942,0.946258161727775,1000.0
Shirt,0.7084639498432602,0.678,0.6928972917731222,1000.0
Sneakers,0.9209257473481196,0.955,0.9376534118802161,1000.0
Bag,0.9707070707070707,0.961,0.9658291457286432,1000.0
Ankle boot,0.961499493414387,0.949,0.9552088575742325,1000.0
accuracy,0.8785,0.8785,0.8785,0.8785
macro avg,0.8784795072376215,0.8785000000000001,0.8783698320965696,10000.0
weighted avg,0.8784795072376215,0.8785,0.8783698320965696,10000.0
