,precision,recall,f1-score,support
T-shirt/top,0.8269794721407625,0.846,0.8363816114681166,1000.0
Trouser,0.9896907216494846,0.96,0.9746192893401014,1000.0
Pullover,0.8304904051172708,0.779,0.803921568627451,1000.0
Dress,0.8918099089989889,0.882,0.8868778280542987,1000.0
Coat,0.8073929961089494,0.83,0.8185404339250493,1000.0
Sandal,0.9824198552223371,0.95,0.9659379766141332,1000.0
Shirt,0.7102001906577693,0.745,0.7271839921913129,1000.0
Sneakers,0.9162790697674419,0.985,0.9493975903614459,1000.0
Bag,0.9769076305220884,0.973,0.9749498997995992,1000.0
Ankle boot,0.9751295336787564,0.941,0.9577608142493638,1000.0
accuracy,0.8891,0.8891,0.8891,0.8891
macro avg,0.890729978386385,0.8891,0.8895571004630872,10000.0
weighted avg,0.8907299783863849,0.8891,0.8895571004630872,10000.0
