,precision,recall,f1-score,support
T-shirt/top,0.800369685767098,0.866,0.8318924111431316,1000.0
Trouser,0.9887640449438202,0.968,0.9782718544719554,1000.0
Pullover,0.7904667328699106,0.796,0.7932237169905331,1000.0
Dress,0.8775313404050145,0.91,0.8934707903780069,1000.0
Coat,0.8485221674876847,0.689,0.760485651214128,1000.0
Sandal,0.9613095238095238,0.969,0.9651394422310756,1000.0
Shirt,0.6503237742830712,0.703,0.675636713118693,1000.0
Sneakers,0.930164888457808,0.959,0.9443623830625308,1000.0
Bag,0.9658291457286432,0.961,0.9634085213032582,1000.0
Ankle boot,0.9710743801652892,0.94,0.9552845528455285,1000.0
accuracy,0.8761,0.8761,0.8761,0.8761
macro avg,0.8784355683917863,0.8760999999999999,0.876117603675884,10000.0
weighted avg,0.8784355683917864,0.8761,0.8761176036758841,10000.0
